"","v1_unit","upper_bound","ampw","emmean","SE","df","asymp.LCL","asymp.UCL"
"1",1,"0.08",0,0.0703474589679346,0.00472355788362436,Inf,0.0610894556371406,0.0796054622987286
"2",2,"0.08",0,0.0739582772931761,0.00472727316763331,Inf,0.0646929921395323,0.08322356244682
"3",1,"0.16",0,0.0762828603700306,0.00472742017671752,Inf,0.0670172870838762,0.0855484336561849
"4",2,"0.16",0,0.079893678695272,0.00473216936086838,Inf,0.0706187971792261,0.089168560211318
"5",1,"0.24",0,0.0833228994762341,0.00473372092961396,Inf,0.0740449769413273,0.0926008220111409
"6",2,"0.24",0,0.0869337178014756,0.00473950534507901,Inf,0.0776444580205857,0.0962229775823656
