"","v1_unit","upper_bound","ampc.trend","SE","df","asymp.LCL","asymp.UCL"
"1",1,"0.1",0.581637201635205,0.0967053294390628,Inf,0.39209823882156,0.771176164448849
"2",2,"0.1",0.189941846222766,0.0961463682206091,Inf,0.00149842726604607,0.378385265179487
"3",1,"0.2",0.581637201635205,0.0967053294390628,Inf,0.39209823882156,0.771176164448849
"4",2,"0.2",0.189941846222766,0.0961463682206091,Inf,0.00149842726604607,0.378385265179487
"5",1,"0.3",0.581637201635205,0.0967053294390628,Inf,0.39209823882156,0.771176164448849
"6",2,"0.3",0.189941846222766,0.0961463682206091,Inf,0.00149842726604607,0.378385265179487
