,v1_unit,dlgn_unit,upper_bound,ampw,loss
144,1,1_1,0.08,0.05942,0.1017
145,1,1_1,0.08,0.04974,0.1166
146,1,1_1,0.08,0.0224,0.08295
147,1,1_1,0.08,0.06946,0.1107
148,1,1_1,0.08,0.05273,0.09326
149,1,1_1,0.08,0.03836,0.1399
150,1,1_1,0.08,0.05823,0.10077
151,1,1_1,0.08,0.04477,0.1102
152,1,1_1,0.08,0.0577,0.1415
153,1,1_1,0.08,0.0401,0.09216
154,1,1_1,0.08,0.04648,0.09155
155,1,1_1,0.08,0.05914,0.1149
156,1,1_1,0.08,0.0284,0.08954
157,1,1_1,0.08,0.02196,0.08685
158,1,1_1,0.08,0.04456,0.10175
159,1,1_1,0.08,0.06137,0.0993
160,1,1_1,0.08,0.0454,0.125
161,1,1_1,0.08,0.04953,0.1197
162,1,1_1,0.08,0.02414,0.0792
163,1,1_1,0.08,0.05084,0.1
164,1,1_1,0.08,0.03632,0.1001
165,1,1_1,0.08,0.04254,0.0925
166,1,1_1,0.08,0.0437,0.09283
167,1,1_1,0.08,0.03354,0.09
168,1,1_1,0.08,0.03342,0.0817
169,1,1_1,0.08,0.03418,0.10223
170,1,1_1,0.08,0.03114,0.08075
171,1,1_1,0.08,0.02061,0.0726
172,1,1_1,0.08,0.05685,0.09174
173,1,1_1,0.08,0.03041,0.0785
174,1,1_1,0.08,0.03656,0.08734
175,1,1_1,0.08,0.04462,0.0884
176,1,1_1,0.08,0.02414,0.0882
177,1,1_1,0.08,0.02116,0.07684
178,1,1_1,0.08,0.02486,0.0726
179,1,1_1,0.08,0.04648,0.10223
180,1,1_1,0.08,0.0548,0.1057
181,1,1_1,0.08,0.0395,0.1138
182,1,1_1,0.08,0.05212,0.109
183,1,1_1,0.08,0.04434,0.0919
184,1,1_1,0.08,0.02412,0.08875
185,1,1_1,0.08,0.05643,0.1109
186,1,1_1,0.08,0.04922,0.09375
187,1,1_1,0.08,0.01839,0.0694
188,1,1_1,0.08,0.02634,0.0769
189,1,1_1,0.08,0.05722,0.0939
190,1,1_1,0.08,0.04483,0.1278
191,1,1_1,0.08,0.02635,0.0771
192,1,1_1,0.08,0.04108,0.12274
193,1,1_1,0.08,0.02135,0.07324
194,1,1_1,0.08,0.0628,0.11115
195,1,1_1,0.08,0.03232,0.0912
196,1,1_1,0.08,0.03848,0.10016
197,1,1_1,0.08,0.03262,0.0834
198,1,1_1,0.08,0.02962,0.0885
199,1,1_1,0.08,0.03864,0.099
200,1,1_1,0.08,0.04224,0.0936
201,1,1_1,0.08,0.03186,0.1031
202,1,1_1,0.08,0.03047,0.0751
203,1,1_1,0.08,0.06305,0.1121
204,1,1_1,0.08,0.02321,0.0737
205,1,1_1,0.08,0.05887,0.12024
206,1,1_1,0.08,0.02327,0.0755
207,1,1_1,0.08,0.02429,0.0758
208,1,1_1,0.08,0.0649,0.12305
209,1,1_1,0.08,0.02678,0.0945
210,1,1_1,0.08,0.02223,0.07324
211,1,1_1,0.08,0.02696,0.0909
212,1,1_1,0.08,0.02856,0.07526
213,1,1_1,0.08,0.05844,0.1168
214,1,1_1,0.08,0.0406,0.095
215,1,1_1,0.08,0.02806,0.0769
216,1,1_1,0.08,0.02057,0.06805
217,1,1_1,0.08,0.04886,0.0905
218,1,1_1,0.08,0.02444,0.0717
219,1,1_1,0.08,0.04987,0.1233
220,1,1_1,0.08,0.06665,0.1073
221,1,1_1,0.08,0.02864,0.0811
222,1,1_1,0.08,0.03084,0.0963
223,1,1_1,0.08,0.04547,0.1048
224,1,1_1,0.08,0.02971,0.085
225,1,1_1,0.08,0.044,0.0946
226,1,1_1,0.08,0.04736,0.1003
227,1,1_1,0.08,0.04196,0.1012
228,1,1_1,0.08,0.05142,0.11383
229,1,1_1,0.08,0.02734,0.07355
230,1,1_1,0.08,0.0314,0.079
231,1,1_1,0.08,0.02911,0.07697
232,1,1_1,0.08,0.02873,0.0839
233,1,1_1,0.08,0.02423,0.07996
234,1,1_1,0.08,0.0556,0.11707
235,1,1_1,0.08,0.0342,0.0949
236,1,1_1,0.08,0.01556,0.06757
237,1,1_1,0.08,0.04147,0.10864
238,1,1_1,0.08,0.03882,0.09686
239,1,1_1,0.08,0.03287,0.08936
240,1,1_1,0.08,0.02702,0.0761
241,1,1_1,0.08,0.02872,0.0821
242,1,1_1,0.08,0.03564,0.0819
243,1,1_1,0.08,0.0462,0.1062
244,1,1_1,0.08,0.0234,0.0709
245,1,1_1,0.08,0.02046,0.0711
246,1,1_1,0.08,0.0206,0.08154
247,1,1_1,0.08,0.0271,0.0773
248,1,1_1,0.08,0.0724,0.12225
249,1,1_1,0.08,0.03387,0.0855
250,1,1_1,0.08,0.04288,0.0937
251,1,1_1,0.08,0.04437,0.0959
252,1,1_1,0.08,0.0527,0.11743
253,1,1_1,0.08,0.03091,0.0858
254,1,1_1,0.08,0.02162,0.075
255,1,1_1,0.08,0.04355,0.1111
256,1,1_1,0.08,0.0613,0.12445
257,1,1_1,0.08,0.02492,0.0738
258,1,1_1,0.08,0.01848,0.0922
259,1,1_1,0.08,0.06793,0.113
260,1,1_1,0.08,0.04376,0.11945
261,1,1_1,0.08,0.0477,0.11
262,1,1_1,0.08,0.0352,0.11426
263,1,1_1,0.08,0.02638,0.09125
264,1,1_1,0.08,0.02675,0.0841
265,1,1_1,0.08,0.02817,0.0767
266,1,1_1,0.08,0.05466,0.1049
267,1,1_1,0.08,0.03598,0.08905
268,1,1_1,0.08,0.03928,0.09045
269,1,1_1,0.08,0.02321,0.0726
270,1,1_1,0.08,0.0638,0.1451
271,1,1_1,0.08,0.01923,0.07904
272,1,1_1,0.08,0.04004,0.09406
273,1,1_1,0.08,0.02496,0.0759
274,1,1_1,0.08,0.0684,0.11163
275,1,1_1,0.08,0.04742,0.10205
276,1,1_1,0.08,0.02861,0.0845
277,1,1_1,0.08,0.03915,0.0898
278,1,1_1,0.08,0.07275,0.12
279,1,1_1,0.08,0.06198,0.099
280,1,1_1,0.08,0.04916,0.0976
281,1,1_1,0.08,0.04315,0.10004
282,1,1_1,0.08,0.0173,0.0742
283,1,1_1,0.08,0.0444,0.1307
284,1,1_1,0.08,0.05072,0.1112
285,1,1_1,0.08,0.048,0.1069
286,1,1_1,0.08,0.02252,0.072
287,1,1_1,0.08,0.0489,0.0997
288,1,1_1,0.08,0.02975,0.0799
289,1,1_1,0.08,0.05463,0.1101
290,1,1_1,0.08,0.0345,0.0869
291,1,1_1,0.08,0.01949,0.07074
292,1,1_1,0.08,0.03326,0.0819
293,1,1_1,0.08,0.0537,0.09607
294,1,1_1,0.08,0.03964,0.10815
295,1,1_1,0.08,0.02197,0.07214
296,1,1_1,0.08,0.06836,0.1174
297,1,1_1,0.08,0.03107,0.07574
298,1,1_1,0.08,0.04694,0.1083
299,1,1_1,0.08,0.0228,0.0958
300,1,1_1,0.08,0.0598,0.11847
301,1,1_1,0.08,0.0465,0.11597
302,1,1_1,0.08,0.05588,0.1178
303,1,1_1,0.08,0.0232,0.08246
304,1,1_1,0.08,0.02602,0.0713
305,1,1_1,0.08,0.03053,0.08307
306,1,1_1,0.08,0.04333,0.0882
307,1,1_1,0.08,0.0723,0.174
308,1,1_1,0.08,0.01539,0.06915
309,1,1_1,0.08,0.0606,0.11005
310,1,1_1,0.08,0.02557,0.1145
311,1,1_1,0.08,0.04492,0.0887
312,1,1_1,0.08,0.03072,0.08716
313,1,1_1,0.08,0.0461,0.10376
314,1,1_1,0.08,0.02356,0.08026
315,1,1_1,0.08,0.01767,0.0718
316,1,1_1,0.08,0.02151,0.0718
317,1,1_1,0.08,0.03308,0.0788
318,1,1_1,0.08,0.02596,0.0762
319,1,1_1,0.08,0.03078,0.0831
320,1,1_1,0.08,0.045,0.0943
321,1,1_1,0.08,0.0671,0.10925
322,1,1_1,0.08,0.06134,0.1129
323,1,1_1,0.08,0.0341,0.1021
324,1,1_1,0.08,0.03445,0.10706
325,1,1_1,0.08,0.03174,0.0816
326,1,1_1,0.08,0.03946,0.0925
327,1,1_1,0.08,0.0672,0.1549
328,1,1_1,0.08,0.04965,0.1031
329,1,1_1,0.08,0.0631,0.1046
330,1,1_1,0.08,0.03032,0.08136
331,1,1_1,0.08,0.05765,0.1032
332,1,1_1,0.08,0.05313,0.0997
333,1,1_1,0.08,0.03397,0.0938
334,1,1_1,0.08,0.0751,0.1466
335,1,1_1,0.08,0.02713,0.07996
336,1,1_1,0.08,0.04584,0.09375
337,1,1_1,0.08,0.0646,0.10675
338,1,1_1,0.08,0.04404,0.0863
339,1,1_1,0.08,0.03592,0.0847
340,1,1_1,0.08,0.02429,0.0752
341,1,1_1,0.08,0.06635,0.1566
342,1,1_1,0.08,0.03348,0.08344
343,1,1_1,0.08,0.0473,0.1146
344,1,1_1,0.08,0.04205,0.09827
345,1,1_1,0.08,0.0573,0.10876
346,1,1_1,0.08,0.03287,0.0969
347,1,1_1,0.08,0.0523,0.1163
348,1,1_1,0.08,0.04117,0.0944
349,1,1_1,0.08,0.0602,0.1167
350,1,1_1,0.08,0.04623,0.1009
351,1,1_1,0.08,0.0546,0.0954
352,1,1_1,0.08,0.03656,0.0942
353,1,1_1,0.08,0.0572,0.1272
354,1,1_1,0.08,0.03647,0.0911
355,1,1_1,0.08,0.02718,0.0898
356,1,1_1,0.08,0.0576,0.1088
357,1,1_1,0.08,0.01743,0.08057
358,1,1_1,0.08,0.05484,0.1073
359,1,1_1,0.08,0.02042,0.08453
360,1,1_1,0.08,0.0206,0.07117
361,1,1_1,0.08,0.03668,0.09424
362,1,1_1,0.08,0.0487,0.1085
363,1,1_1,0.08,0.01593,0.07196
364,1,1_1,0.08,0.0552,0.09796
365,1,1_1,0.08,0.041,0.10846
366,1,1_1,0.08,0.04114,0.09216
367,1,1_1,0.08,0.0238,0.0765
368,1,1_1,0.08,0.0344,0.09546
369,1,1_1,0.08,0.01859,0.07355
370,1,1_1,0.08,0.0731,0.10425
371,1,1_1,0.08,0.0474,0.1026
372,1,1_1,0.08,0.04266,0.1493
373,1,1_1,0.08,0.0523,0.1014
374,1,1_1,0.08,0.04428,0.0899
375,1,1_1,0.08,0.04288,0.0966
376,1,1_1,0.08,0.01926,0.0709
377,1,1_1,0.08,0.04822,0.08984
378,1,1_1,0.08,0.0667,0.1234
379,1,1_1,0.08,0.0219,0.085
380,1,1_1,0.08,0.03757,0.0874
381,1,1_1,0.08,0.05356,0.11914
382,1,1_1,0.08,0.03513,0.0916
383,1,1_1,0.08,0.04416,0.11194
384,1,1_1,0.08,0.02719,0.07623
385,1,1_1,0.08,0.0419,0.0973
386,1,1_1,0.08,0.0636,0.1139
387,1,1_1,0.08,0.03967,0.09503
388,1,1_1,0.08,0.05695,0.1273
389,1,1_1,0.08,0.03735,0.11426
390,1,1_1,0.08,0.01976,0.0697
391,1,1_1,0.08,0.03117,0.0774
392,1,1_1,0.08,0.03033,0.0936
393,1,1_1,0.08,0.02315,0.07434
394,1,1_1,0.08,0.06494,0.1198
395,1,1_1,0.08,0.03018,0.08026
396,1,1_1,0.08,0.02129,0.08594
397,1,1_1,0.08,0.01953,0.07935
398,1,1_1,0.08,0.0389,0.09357
399,1,1_1,0.08,0.02899,0.07947
400,1,1_1,0.08,0.05106,0.1023
401,1,1_1,0.08,0.046,0.1066
402,1,1_1,0.08,0.03604,0.1116
403,1,1_1,0.08,0.0347,0.0898
404,1,1_1,0.08,0.03696,0.0836
405,1,1_1,0.08,0.03033,0.0847
406,1,1_1,0.08,0.03796,0.0954
407,1,1_1,0.08,0.06097,0.0995
408,1,1_1,0.08,0.02724,0.0827
409,1,1_1,0.08,0.04675,0.096
410,1,1_1,0.08,0.0681,0.1233
411,1,1_1,0.08,0.02197,0.0709
412,1,1_1,0.08,0.04044,0.0974
413,1,1_1,0.08,0.04703,0.1525
414,1,1_1,0.08,0.02957,0.09845
415,1,1_1,0.08,0.01929,0.0707
416,1,1_1,0.08,0.03014,0.0773
417,1,1_1,0.08,0.02213,0.0848
418,1,1_1,0.08,0.07135,0.11566
419,1,1_1,0.08,0.04416,0.1142
420,1,1_1,0.08,0.03473,0.08997
421,1,1_1,0.08,0.0648,0.11005
422,1,1_1,0.08,0.02026,0.0697
423,1,1_1,0.08,0.02603,0.0747
424,1,1_1,0.08,0.01913,0.08466
425,1,1_1,0.08,0.0348,0.0927
426,1,1_1,0.08,0.02733,0.0819
427,1,1_1,0.08,0.03314,0.07947
428,1,1_1,0.08,0.0176,0.07904
429,1,1_1,0.08,0.03873,0.0927
430,1,1_1,0.08,0.062,0.0993
431,1,1_1,0.08,0.0358,0.1188
432,1,1_1,0.08,0.02823,0.0806
433,1,1_1,0.08,0.0224,0.07025
434,1,1_1,0.08,0.02411,0.0837
435,1,1_1,0.08,0.02441,0.09827
436,1,1_1,0.08,0.03604,0.094
437,1,1_1,0.08,0.04474,0.08655
438,1,1_1,0.08,0.04932,0.10693
439,1,1_1,0.08,0.0663,0.0981
440,1,1_1,0.08,0.03012,0.0906
441,1,1_1,0.08,0.0366,0.0859
442,1,1_1,0.08,0.02165,0.07513
443,1,1_1,0.08,0.02289,0.0824
444,1,1_1,0.08,0.02736,0.07947
445,1,1_1,0.08,0.05707,0.1243
446,1,1_1,0.08,0.04822,0.1076
447,1,1_1,0.08,0.0696,0.1087
448,1,1_1,0.08,0.02344,0.1301
449,1,1_1,0.08,0.01651,0.071
450,1,1_1,0.08,0.04565,0.0912
451,1,1_1,0.08,0.03867,0.0963
452,1,1_1,0.08,0.02284,0.07336
453,1,1_1,0.08,0.0625,0.1155
454,1,1_1,0.08,0.05435,0.0942
455,1,1_1,0.08,0.0505,0.0996
456,1,1_1,0.08,0.053,0.0999
457,1,1_1,0.08,0.04974,0.0885
458,1,1_1,0.08,0.0636,0.1055
459,1,1_1,0.08,0.02792,0.08826
460,1,1_1,0.08,0.03534,0.0982
461,1,1_1,0.08,0.02396,0.1007
462,1,1_1,0.08,0.02943,0.0849
463,1,1_1,0.08,0.02628,0.0767
464,1,1_1,0.08,0.048,0.0973
465,1,1_1,0.08,0.0341,0.1138
466,1,1_1,0.08,0.06805,0.1149
467,1,1_1,0.08,0.03275,0.0887
468,1,1_1,0.08,0.0494,0.0937
469,1,1_1,0.08,0.03458,0.10474
470,1,1_1,0.08,0.04446,0.1282
471,1,1_1,0.08,0.05136,0.114
472,1,1_1,0.08,0.052,0.0948
473,1,1_1,0.08,0.0381,0.11005
474,1,1_1,0.08,0.04007,0.1024
475,1,1_1,0.08,0.02495,0.08594
476,1,1_1,0.08,0.03528,0.09296
477,1,1_1,0.08,0.03802,0.10034
478,1,1_1,0.08,0.0383,0.093
479,1,1_1,0.08,0.04428,0.0966
480,1,1_1,0.08,0.03543,0.11865
481,1,1_1,0.08,0.05286,0.091
482,1,1_1,0.08,0.0185,0.0721
483,1,1_1,0.08,0.03326,0.0949
484,1,1_1,0.08,0.046,0.1085
485,1,1_1,0.08,0.04056,0.0861
486,1,1_1,0.08,0.02905,0.0799
487,1,1_1,0.08,0.0371,0.0942
488,1,1_1,0.08,0.04462,0.0926
489,1,1_1,0.08,0.04642,0.1068
490,1,1_1,0.08,0.04623,0.11884
491,1,1_1,0.08,0.04755,0.10583
492,1,1_1,0.08,0.0705,0.1293
493,1,1_1,0.08,0.0208,0.0751
494,1,1_1,0.08,0.03445,0.0916
495,1,1_1,0.08,0.04086,0.10614
496,1,1_1,0.08,0.07275,0.1235
497,1,1_1,0.08,0.04614,0.10016
498,1,1_1,0.08,0.02219,0.0836
499,1,1_1,0.08,0.05643,0.1298
500,1,1_1,0.08,0.02238,0.0995
